symbol,sector,industry
IISL,Unknown,Unknown
IDBI,Financial Services,Banks - Regional
JPASSOCIAT,Unknown,Unknown
MCDOWELL-N,Unknown,Unknown
MPHASIS,Technology,Information Technology Services
JINDALSTEL,Basic Materials,Steel
DLF,Real Estate,Real Estate - Development
CROMPGREAV,Unknown,Unknown
RPOWER,Utilities,Utilities - Independent Power Producers
UNIONBANK,Financial Services,Banks - Regional
ABIRLANUVO,Unknown,Unknown
APOLLOHOSP,Healthcare,Medical Care Facilities
BHARATFORG,Consumer Cyclical,Auto Parts
CASTROLIND,Energy,Oil & Gas Refining & Marketing
GRASIM,Basic Materials,Building Materials
UBL,Consumer Defensive,Beverages - Brewers
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic
TATAPOWER,Utilities,Utilities - Independent Power Producers
GLAXO,Healthcare,Drug Manufacturers - General
GSKCONS,Unknown,Unknown
TORNTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
GLENMARK,Healthcare,Drug Manufacturers - Specialty & Generic
PFC,Financial Services,Credit Services
RECLTD,Financial Services,Credit Services
CUMMINSIND,Industrials,Specialty Industrial Machinery
EMAMILTD,Consumer Defensive,Household & Personal Products
PNB,Financial Services,Banks - Regional
SUNTV,Communication Services,Broadcasting
LICHSGFIN,Financial Services,Mortgage Finance
BEL,Industrials,Aerospace & Defense
ABCAPITAL,Financial Services,Financial Conglomerates
OIL,Energy,Oil & Gas Integrated
BHEL,Industrials,Specialty Industrial Machinery
MRF,Consumer Cyclical,Auto Parts
SAIL,Basic Materials,Steel
YESBANK,Financial Services,Banks - Regional
IBULHSGFIN,Unknown,Unknown
L&TFH,Unknown,Unknown
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery
IDEA,Communication Services,Telecom Services
NIACL,Financial Services,Insurance - Diversified
TATAMTRDVR,Unknown,Unknown
VEDL,Basic Materials,Other Industrial Metals & Mining
PAGEIND,Consumer Cyclical,Apparel Manufacturing
ZEEL,Communication Services,Broadcasting
NHPC,Utilities,Utilities - Renewable
SRTRANSFIN,Unknown,Unknown
OFSS,Technology,Software - Infrastructure
GICRE,Financial Services,Insurance - Reinsurance
CONCOR,Industrials,Railroads
HINDZINC,Basic Materials,Other Industrial Metals & Mining
BANKBARODA,Financial Services,Banks - Regional
MOTHERSUMI,Unknown,Unknown
PETRONET,Energy,Oil & Gas Refining & Marketing
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM,Healthcare,Drug Manufacturers - Specialty & Generic
IGL,Utilities,Utilities - Regulated Gas
AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
HINDPETRO,Energy,Oil & Gas Refining & Marketing
PEL,Unknown,Unknown
NMDC,Basic Materials,Steel
JUBLFOOD,Consumer Cyclical,Restaurants
LUPIN,Healthcare,Drug Manufacturers - Specialty & Generic
ZYDUSLIFE,Healthcare,Drug Manufacturers - Specialty & Generic
PAYTM,Technology,Software - Infrastructure
BIOCON,Healthcare,Biotechnology
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic
BANDHANBNK,Financial Services,Banks - Regional
HDFC,Unknown,Unknown
INDUSTOWER,Communication Services,Telecom Services
HDFCAMC,Financial Services,Asset Management
NYKAA,Consumer Cyclical,Internet Retail
ACC,Basic Materials,Building Materials
AWL,Consumer Defensive,Packaged Foods
UPL,Basic Materials,Agricultural Inputs
PIIND,Basic Materials,Agricultural Inputs
MUTHOOTFIN,Financial Services,Credit Services
PGHH,Consumer Defensive,Household & Personal Products
BERGEPAINT,Basic Materials,Specialty Chemicals
MARICO,Consumer Defensive,Household & Personal Products
SRF,Industrials,Conglomerates
SBICARD,Financial Services,Credit Services
COLPAL,Consumer Defensive,Household & Personal Products
IRCTC,Consumer Cyclical,Travel Services
ATGL,Utilities,Utilities - Regulated Gas
INDUSINDBK,Financial Services,Banks - Regional
ICICIPRULI,Financial Services,Insurance - Life
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers
DABUR,Consumer Defensive,Household & Personal Products
SWIGGY,Consumer Cyclical,Internet Retail
HAVELLS,Industrials,Electrical Equipment & Parts
ICICIGI,Financial Services,Insurance - Diversified
LICI,Financial Services,Insurance - Life
BAJAJHFL,Financial Services,Mortgage Finance
JSWENERGY,Utilities,Utilities - Independent Power Producers
NAUKRI,Communication Services,Internet Content & Information
INFRATEL,Unknown,Unknown
INGVYSYABK,Unknown,Unknown
SUNDARMFIN,Financial Services,Credit Services
IOC,Energy,Oil & Gas Refining & Marketing
DMART,Consumer Defensive,Discount Stores
SBILIFE,Financial Services,Insurance - Life
HDFCLIFE,Financial Services,Insurance - Life
BAJAJHLDNG,Financial Services,Asset Management
NESTLEIND,Consumer Defensive,Packaged Foods
ADANITRANS,Unknown,Unknown
LTI,Unknown,Unknown
ADANIGREEN,Utilities,Utilities - Renewable
TATACONSUM,Consumer Defensive,Packaged Foods
ADANIENT,Energy,Thermal Coal
CHOLAFIN,Financial Services,Credit Services
ZOMATO,Unknown,Unknown
MINDTREE,Unknown,Unknown
HAL,Industrials,Aerospace & Defense
MOTHERSON,Consumer Cyclical,Auto Parts
ABB,Industrials,Specialty Industrial Machinery
VBL,Consumer Defensive,Beverages - Non-Alcoholic
CANBK,Financial Services,Banks - Regional
TVSMOTOR,Consumer Cyclical,Auto Manufacturers
TRENT,Consumer Cyclical,Apparel Retail
SHRIRAMFIN,Financial Services,Credit Services
ADANIPOWER,Utilities,Utilities - Independent Power Producers
IRFC,Financial Services,Credit Services
JIOFIN,Financial Services,Asset Management
LODHA,Real Estate,Real Estate - Development
INDHOTEL,Consumer Cyclical,Lodging
HYUNDAI,Consumer Cyclical,Auto Manufacturers
CGPOWER,Industrials,Electrical Equipment & Parts
MAXHEALTH,Healthcare,Medical Care Facilities
MAZDOCK,Industrials,Aerospace & Defense
SOLARINDS,Basic Materials,Specialty Chemicals
ENRIN,Utilities,Utilities - Renewable
TATACAP,Financial Services,Credit Services
TMCV,Consumer Cyclical,Auto Manufacturers
